0.9,0.05,-0.108062,0.0359655
0.9,0.1,-0.0427613,0.0525361
0.9,0.15,-0.00481179,0.0575545
0.9,0.2,0.0157891,0.0560441
0.9,0.25,0.0256391,0.051159
0.9,0.3,0.0290401,0.0448267
0.9,0.35,0.0287566,0.03818
0.9,0.4,0.026532,0.0318454
0.9,0.45,0.0234391,0.0261331
0.9,0.5,0.0201146,0.0211623
0.9,0.55,0.0169174,0.0169407
0.9,0.6,0.0140324,0.0134155
0.9,0.65,0.0115391,0.010505
0.9,0.7,0.00945619,0.00811662
0.9,0.75,0.00776951,0.00615803
0.9,0.8,0.00645025,0.00454188
0.9,0.85,0.00546579,0.00318802
0.9,0.9,0.00478626,0.00202356
0.9,0.95,0.00438833,0.000981694
0.9,1,0.00425735,0.00E+00
0.95,0,-0.253615,0
0.95,0.05,-0.127035,0.0189082
0.95,0.1,-0.0502689,0.0276199
0.95,0.15,-0.0056566,0.0302582
0.95,0.2,0.0185612,0.0294641
0.95,0.25,0.0301406,0.0268959
0.95,0.3,0.0341387,0.0235668
0.95,0.35,0.0338054,0.0200724
0.95,0.4,0.0311903,0.0167421
0.95,0.45,0.0275543,0.013739
0.95,0.5,0.0236461,0.0111257
0.95,0.55,0.0198876,0.00890626
0.95,0.6,0.0164961,0.00705297
0.95,0.65,0.0135651,0.00552279
0.95,0.7,0.0111164,0.00426716
0.95,0.75,0.0091336,0.00323747
0.95,0.8,0.00758273,0.00238781
0.95,0.85,0.00642543,0.00167604
0.95,0.9,0.00562658,0.00106385
0.95,0.95,0.00515879,0.000516107
0.95,1,0.00500482,0.00E+00
1,0,-0.266667,0
1,0.05,-0.133572,2.25E-17
1,0.1,-0.0528559,3.28E-17
1,0.15,-0.0059477,3.60E-17
1,0.2,0.0195164,3.50E-17
1,0.25,0.0316917,3.20E-17
1,0.3,0.0358955,2.80E-17
1,0.35,0.0355451,2.39E-17
1,0.4,0.0327954,1.99E-17
1,0.45,0.0289723,1.63E-17
1,0.5,0.024863,1.32E-17
1,0.55,0.020911,1.06E-17
1,0.6,0.017345,8.39E-18
1,0.65,0.0142632,6.57E-18
1,0.7,0.0116885,5.07E-18
1,0.75,0.00960364,3.85E-18
1,0.8,0.00797295,2.84E-18
1,0.85,0.00675609,1.99E-18
1,0.9,0.00591614,1.26E-18
1,0.95,0.00542428,6.14E-19
1,1,0.00526238,0.00E+00
